

[2021-01-17 20:08:18] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:22:04] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:22:45] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:23:04] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:25:18] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:25:49] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:28:14] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:28:35] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:28:35] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:33:36] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:36:40] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-01-17 20:49:12] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:55:46] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 20:55:55] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 21:09:14] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 21:16:40] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 21:20:06] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 21:22:17] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 21:26:55] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 21:47:28] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 22:19:29] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 22:32:12] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 22:38:54] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 22:39:24] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 22:39:52] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 22:43:19] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 22:54:44] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 22:58:42] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:00:14] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:07:27] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:10:12] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:10:50] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:14:48] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:30:40] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:50:51] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:51:20] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:54:22] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:56:07] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-17 23:59:15] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:14:27] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:16:10] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:17:01] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:39:58] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:48:50] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:53:05] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:53:12] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:54:27] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:55:52] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 00:56:10] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:04:13] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:05:42] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:08:23] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:08:59] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:18:15] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:18:54] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:19:07] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:20:07] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:26:49] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:27:07] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:27:08] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:27:20] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:28:49] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:34:14] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:35:23] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:35:26] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:35:36] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:35:43] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 01:49:31] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 02:21:36] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 02:23:44] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 02:31:46] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 02:44:03] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 02:54:23] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 02:57:55] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 02:58:05] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:02:46] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:05:58] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:08:15] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:08:32] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:13:07] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:15:04] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:19:09] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:22:43] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:25:15] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:32:21] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:40:03] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:41:42] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:44:58] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:46:36] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:53:32] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 03:58:00] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:03:14] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:03:24] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:08:21] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:08:28] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:11:54] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:30:23] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:32:13] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:43:55] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:45:48] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:46:32] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 04:54:38] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 05:20:58] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 05:43:29] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 05:46:45] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 05:48:17] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:03:09] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:07:07] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:13:59] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:21:14] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:30:06] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:35:52] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:40:37] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:46:13] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:52:26] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 06:53:10] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 07:03:41] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 07:25:28] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 07:35:27] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 08:15:45] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 09:04:42] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 11:47:42] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 13:49:32] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 14:47:01] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 15:28:05] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 15:30:46] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 15:33:44] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 15:37:10] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 15:39:53] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 15:57:01] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 16:39:24] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 16:52:45] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 17:12:02] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 17:55:14] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:07:23] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:11:56] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:30:06] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:30:20] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:30:28] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:30:30] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:31:05] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:33:47] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:41:01] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:49:27] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 18:55:34] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 19:05:32] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 20:21:17] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 20:27:37] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 20:44:21] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 20:46:44] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 20:55:21] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 21:08:13] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 21:35:05] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 21:38:19] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 21:44:31] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 21:50:10] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 21:51:42] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 21:55:16] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 21:59:37] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 22:02:50] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 22:03:00] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 22:07:21] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 22:26:15] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 22:29:12] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 22:41:04] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 22:55:55] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:17:26] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:22:15] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:23:13] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:25:30] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:30:09] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:30:29] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:32:39] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:37:54] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:43:14] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:47:55] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:48:19] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-18 23:58:58] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 00:05:45] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 00:11:41] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 00:12:19] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 00:58:55] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 00:59:11] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 00:59:25] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 00:59:59] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 01:16:26] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 01:18:36] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 01:39:10] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 01:49:54] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 01:58:06] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 01:58:48] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:04:37] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:08:19] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:08:46] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:09:06] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:10:36] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:11:05] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:11:22] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:14:38] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:17:52] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:18:50] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:24:24] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:25:29] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:29:09] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:41:25] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 02:49:31] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 03:17:25] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 03:27:43] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 03:34:51] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 03:48:05] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 03:48:31] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 03:49:44] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 03:54:33] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 03:55:47] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 04:00:16] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-01-19 04:07:48] [AppID 4000] CAPIJobStoreUserStats::BInit() - no stats found, aborting
